,channel,url,Rank,Birthyear,Age,Uploads,Subs,Total Views,Channel Creation,Gender,Country,Category,twitter,instagram,twitch,facebook,type,sb_url
50,JASMR,https://www.youtube.com/channel/UCZ6B7VjEacNY1z3M_xqM_aA,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCZ6B7VjEacNY1z3M_xqM_aA/monthly
51,Bluewhisper,https://www.youtube.com/channel/UC7wT_mqUvCHEIWm1cuw_T1Q,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UC7wT_mqUvCHEIWm1cuw_T1Q/monthly
52,suellASMR,https://www.youtube.com/channel/UCiQOZOhSZpLaigDGgYhT4ng,50.0,1982.0,37.0,280.0,1618201,372189822.0,4/23/2017,F,US,Entertainment,1.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCiQOZOhSZpLaigDGgYhT4ng/monthly
53,ASMRctica,https://www.youtube.com/channel/UCi8QgZckGYg3RFvEbdkMWfg,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCi8QgZckGYg3RFvEbdkMWfg/monthly
54,SouthernASMRSounds,https://www.youtube.com/channel/UCpw8ZudbxklOi73pWeI6s9A,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCpw8ZudbxklOi73pWeI6s9A/monthly
55,TingTingASMR,https://www.youtube.com/channel/UClqNSqnWeOOUVkzcJFj4rBw,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UClqNSqnWeOOUVkzcJFj4rBw/monthly
56,CreativeCalmASMR,https://www.youtube.com/channel/UCrIPWaSEHW4CqX0hGtxsQwg,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCrIPWaSEHW4CqX0hGtxsQwg/monthly
57,ScottishMurmurs,https://www.youtube.com/channel/UCLcyg3kjSwlUxjnQhSMqfmg,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCLcyg3kjSwlUxjnQhSMqfmg/monthly
58,Let'sFindOutASMR,https://www.youtube.com/channel/UC7FOVZ1xTzKav7TVTATIcxQ,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UC7FOVZ1xTzKav7TVTATIcxQ/monthly
59,FrivolousFoxASMR,https://www.youtube.com/channel/UCoNfsDH8sZe13u7rSxaEBkw,6.0,1994.0,25.0,310.0,1053497,232196121.0,5/2/2016,F,US,People,1.0,1.0,1.0,0.0,channel,https://socialblade.com/youtube/channel/UCoNfsDH8sZe13u7rSxaEBkw/monthly
60,Jojo'sAsmr,https://www.youtube.com/channel/UCjyi6by44TTH0j_U3vXEGpA,12.0,1998.0,21.0,377.0,534532,117567758.0,1/19/2015,M,US,People,0.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCjyi6by44TTH0j_U3vXEGpA/monthly
61,EphemeralRift,https://www.youtube.com/user/EphemeralRift,13.0,1971.0,48.0,1231.0,595015,229702976.0,9/14/2011,M,US,Entertainment,1.0,0.0,0.0,1.0,user,https://socialblade.com/youtube/user/EphemeralRift/monthly
62,KarunaSatoriASMR,https://www.youtube.com/user/KarunaSatoriASMR,14.0,1991.0,28.0,697.0,626732,146226984.0,10/6/2013,F,US,People,1.0,0.0,0.0,1.0,user,https://socialblade.com/youtube/user/KarunaSatoriASMR/monthly
63,fastASMR,https://www.youtube.com/channel/UCHiof82PvgZrXFF-BRMvGDg,16.0,1990.0,29.0,589.0,410536,119438613.0,10/22/2011,F,US,Entertainment,1.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCHiof82PvgZrXFF-BRMvGDg/monthly
64,softlygaloshes,https://www.youtube.com/user/softlygaloshes,20.0,1991.0,28.0,454.0,331777,84358390.0,6/6/2012,F,US,Entertainment,1.0,0.0,0.0,1.0,user,https://socialblade.com/youtube/user/softlygaloshes/monthly
65,ASMRCherryCrush,https://www.youtube.com/channel/UCp5oSl262QFMOsjKj_kYILA,28.0,1990.0,29.0,144.0,642849,110022217.0,3/4/2012,F,US,Entertainment,0.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCp5oSl262QFMOsjKj_kYILA/monthly
66,TingleBelleASMR,https://www.youtube.com/channel/UCAL_MPhlbwBNbotjRAzs5uQ,42.0,1987.0,32.0,98.0,161429,28310808.0,9/3/2015,F,US,Entertainment,0.0,0.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCAL_MPhlbwBNbotjRAzs5uQ/monthly
