,channel,url,rank,birthyear,age,uploads,subs,total_views,channel_creation,gender,country,category,twitter,instagram,twitch,facebook,type,sb_url
41,softlygaloshes,url => https://www.youtube.com/user/softlygaloshes,20,1991,28,454,331777,84358390,6/6/2012,F,US,Entertainment,TRUE,FALSE,FALSE,TRUE,channel,url => https://www.youtube.com/user/softlygaloshes
42,SouthernASMRSounds,https://www.youtube.com/channel/UCpw8ZudbxklOi73pWeI6s9A,,,,1521,148877,48462952,7/15/2015,F,US,People,TRUE,FALSE,FALSE,TRUE,channel,https://socialblade.com/youtube/channel/UCpw8ZudbxklOi73pWeI6s9A/monthly
43,SpringbokASMR,https://www.youtube.com/channel/UC-r8XyqbggZobMiNsqgWkDg,35,,,135,158372,34688044,4/25/2014,F,US,Entertainment,FALSE,FALSE,FALSE,FALSE,channel,https://socialblade.com/youtube/channel/UC-r8XyqbggZobMiNsqgWkDg/monthly
44,suellASMR,https://www.youtube.com/channel/UCiQOZOhSZpLaigDGgYhT4ng,50,1982,37,280,1618201,372189822,4/23/2017,F,US,Entertainment,TRUE,TRUE,FALSE,FALSE,channel,https://socialblade.com/youtube/channel/UCiQOZOhSZpLaigDGgYhT4ng/monthly
45,TheOneLiliumASMR,https://www.youtube.com/user/TheOneLilium,34,1987,32,445,219256,64828412,4/24/2012,F,DK,People,FALSE,FALSE,TRUE,TRUE,user,https://socialblade.com/youtube/user/TheOneLilium/monthly
46,TingleBelleASMR,https://www.youtube.com/channel/UCAL_MPhlbwBNbotjRAzs5uQ,42,1987,32,98,161429,28310808,9/3/2015,F,US,Entertainment,FALSE,FALSE,FALSE,FALSE,channel,https://socialblade.com/youtube/channel/UCAL_MPhlbwBNbotjRAzs5uQ/monthly
47,TingTingASMR,https://www.youtube.com/channel/UClqNSqnWeOOUVkzcJFj4rBw,,1991,27,298,521795,85056106,4/26/2017,F,CHN,Entertainment,TRUE,TRUE,FALSE,FALSE,channel,https://socialblade.com/youtube/channel/UClqNSqnWeOOUVkzcJFj4rBw/monthly
48,TirarADeguello,https://www.youtube.com/user/TirarADeguello,37,,,602,129832,27883383,9/25/2010,M,US,People,TRUE,FALSE,FALSE,FALSE,user,https://socialblade.com/youtube/user/TirarADeguello/monthly
49,TonyBomboniASMR,https://www.youtube.com/user/Asmrer,43,1994,25,866,276923,101701872,7/18/2012,M,US,Entertainment,TRUE,TRUE,FALSE,TRUE,user,https://socialblade.com/youtube/user/Asmrer/monthly
50,WhispersRedASMR,https://www.youtube.com/user/WhispersRedASMR,7,1978,41,392,684380,177072880,4/12/2013,F,GB,People,TRUE,TRUE,FALSE,TRUE,user,https://socialblade.com/youtube/user/WhispersRedASMR/monthly
